index,id,date,involved_dead,involved_injured,danger_rating_level,danger_rating_text,location_name,location_longitude,location_latitude,day_of_year,daycount
0,6744,1992-11-16 23:00:00+00:00,0.0,0.0,0,not assigned,Kleiner Kaserer - Hintertuxer Gl./ Piste 12,11.81,47.105,139,6
1,6745,1992-12-11 23:00:00+00:00,0.0,1.0,0,not assigned,Hafelekar - Diretissima,11.26,47.395,164,1
2,6746,1993-01-26 23:00:00+00:00,2.0,0.0,4,high,Moostal - Rendlgebiet,10.263416000000001,47.104665000000004,210,1
3,6747,1993-01-30 23:00:00+00:00,1.0,0.0,4,high,Hochtennboden - Schigeb. Axamer Lizum,11.287931,47.174721000000005,214,4
4,6748,1993-02-20 23:00:00+00:00,1.0,0.0,5,very high,Aschau - Spiessnägel,12.306106,47.359404,235,2
5,6750,1993-02-20 23:00:00+00:00,0.0,1.0,0,not assigned,Untersberg - Scheibenwald,12.165,47.56,235,4
6,6749,1993-02-20 23:00:00+00:00,1.0,0.0,5,very high,Neunerköpfle - Usseralpe,10.54069,47.483574,235,3
7,6751,1993-02-22 23:00:00+00:00,0.0,2.0,0,not assigned,Birgitzalm - Zache Seite,11.005,47.115,237,4
8,6752,1993-02-24 23:00:00+00:00,0.0,2.0,0,not assigned,Hochetz - Bichlalm,12.24,47.39,239,8
9,6753,1993-02-26 23:00:00+00:00,0.0,1.0,0,not assigned,Rumer Spitze - ,11.260000999999999,47.395001,241,1
10,6754,1993-02-26 23:00:00+00:00,0.0,0.0,0,not assigned,Studelalm - Rote Wand Osthang,11.645,47.235,241,2
11,6755,1993-03-06 23:00:00+00:00,0.0,0.0,0,not assigned,Leutascher Landstraße - ,11.260002,47.395002000000005,249,1
12,6756,1993-03-09 23:00:00+00:00,1.0,0.0,4,high,Scheibenspitze - ,11.57174,47.106952,252,3
13,6757,1993-03-11 23:00:00+00:00,0.0,1.0,0,not assigned,Marchkopf - ,11.645000999999999,47.235001000000004,254,1
14,6758,1993-03-12 23:00:00+00:00,1.0,0.0,4,high,Gerstinger Joch - Spertental,12.262694,47.348154,255,1
15,6759,1993-03-12 23:00:00+00:00,0.0,1.0,0,not assigned,Sebenspitze - Brentenjoch,10.535,47.27,255,2
16,6760,1993-03-12 23:00:00+00:00,1.0,0.0,3,considerable,Speckkarspitze - Bettelwurfgebiet,11.48681,47.345788,255,3
17,6761,1993-03-14 23:00:00+00:00,0.0,0.0,0,not assigned,Königstal - Obergurgl,10.985,46.93,257,2
18,6762,1993-03-19 23:00:00+00:00,0.0,0.0,0,not assigned,Roter Schrofen - ,11.005001,47.115001,262,2
19,6763,1993-03-25 23:00:00+00:00,0.0,0.0,0,not assigned,Roter Schrofen - ,11.005002000000001,47.115002000000004,268,3
20,6764,1993-03-29 22:00:00+00:00,0.0,2.0,0,not assigned,Sulzkogel - ,11.005003,47.115003,272,1
21,6765,1993-04-11 22:00:00+00:00,4.0,0.0,4,high,Querkogeljoch - Gurgler Ferner,10.974983,46.774029,285,1
22,6766,1993-04-24 22:00:00+00:00,0.0,1.0,0,not assigned,Winnebacher Weißkogel - Roßkarscharte,10.985000999999999,46.930001000000004,298,1
23,6767,1993-04-26 22:00:00+00:00,0.0,1.0,0,not assigned,Schalfkogel - Marzellferner,10.985002,46.930002,300,1
24,6768,1993-05-21 22:00:00+00:00,0.0,2.0,0,not assigned,Taschach-Hochjoch - Eiswand,10.985003,46.930003,325,1
